run_id,model,skill_id,original_name,definition,canonical_id,canonical_name,review_status,reviewer_note
b2_cot_anthropic_claude-sonnet-5_auto_run7,anthropic/claude-sonnet-5,S01,LCD Conversion,Find the least common denominator of two unlike denominators and convert both fractions to equivalent fractions with that denominator.,C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run7,anthropic/claude-sonnet-5,S02,Whole/Fraction Decomposition & Subtraction,Separate a mixed or whole number into whole and fractional parts (treating a whole number as whole+0/d when needed) and subtract the whole parts and fractional parts independently.,C9,Generic fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run7,anthropic/claude-sonnet-5,S03,Borrowing,"When subtracting fractional parts yields a negative value, regroup one unit from the whole part into the fraction (as denominator/denominator) and redo the fractional subtraction.",C5,Borrowing/regrouping,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run7,anthropic/claude-sonnet-5,S04,Simplify to Lowest Terms,Reduce a resulting fraction to its lowest-terms equivalent by dividing numerator and denominator by their greatest common factor.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run7,anthropic/claude-sonnet-5,S05,Normalize Improper Fractional Part,"When a mixed number's fractional part has numerator equal to or greater than its denominator, convert the excess into additional whole units before/while subtracting.",C6,Improper mixed-number normalization,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run7,anthropic/claude-sonnet-5,S06,Same-Denominator Pure-Fraction Subtraction,Subtract the numerators directly of two fractions with no whole-number part once they share a common denominator.,C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run8,anthropic/claude-sonnet-5,S01,Common-denominator numerator subtraction,"Subtract the numerators of two fractions that already share (or now share) a common denominator, keeping that denominator.",C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run8,anthropic/claude-sonnet-5,S02,LCD conversion,Find the least common denominator of two unlike-denominator fractions and rewrite both as equivalent fractions over that denominator.,C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run8,anthropic/claude-sonnet-5,S03,Whole/fraction decomposition and subtraction,"Split mixed numbers (or whole numbers, treated as having a zero fraction part) into whole and fraction components and subtract the whole parts and fraction parts independently.",C9,Generic fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run8,anthropic/claude-sonnet-5,S04,Borrowing between whole and fraction parts,"When subtracting the fraction parts yields a negative value, borrow one whole unit (expressed as denominator/denominator) from the whole part and redo the fraction subtraction.",C5,Borrowing/regrouping,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run8,anthropic/claude-sonnet-5,S05,Fraction simplification,Reduce a resulting fraction to lowest terms by dividing numerator and denominator by their greatest common factor.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run8,anthropic/claude-sonnet-5,S06,Improper mixed-number normalization,"Convert a mixed number whose fraction part is greater than or equal to one (e.g., 2 3/2) into proper form by moving the excess into the whole part before subtracting.",C6,Improper mixed-number normalization,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run9,anthropic/claude-sonnet-5,S01,Find LCD and convert fractions,Determine the least common denominator for two fractions with unlike denominators and rewrite both as equivalent fractions with that denominator.,C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run9,anthropic/claude-sonnet-5,S02,Subtract numerators (common denominator),"Given two fractions that already share a denominator, subtract the numerators to obtain the result fraction, keeping the denominator unchanged.",C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run9,anthropic/claude-sonnet-5,S03,Separate and subtract whole/fraction parts,"Decompose mixed numbers (or whole numbers, treated as whole+0/d) into whole and fractional components and subtract the whole parts and fractional parts independently.",C9,Generic fraction subtraction,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run9,anthropic/claude-sonnet-5,S04,Borrow/regroup for negative fraction result,"When subtracting fractional parts yields a negative value, borrow 1 (expressed as d/d) from the whole part and add it to the minuend's fraction, repeating as necessary, before subtracting again.",C5,Borrowing/regrouping,draft_ai,
b2_cot_anthropic_claude-sonnet-5_auto_run9,anthropic/claude-sonnet-5,S05,Simplify fraction to lowest terms,Reduce a resulting fraction by dividing numerator and denominator by their greatest common factor to express the answer in lowest terms.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run1,deepseek/deepseek-v4-flash,S01,Subtract fractions with common denominator,"Given two fractions with the same denominator, subtract the numerators and keep the denominator.",C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run1,deepseek/deepseek-v4-flash,S02,Convert to common denominator,Find the least common denominator of two denominators and rewrite both fractions as equivalent fractions with that denominator.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run1,deepseek/deepseek-v4-flash,S03,Subtract whole number parts,Subtract the whole number parts of two mixed numbers (or a whole number and a mixed number).,C3,Whole-number minuend/operand handling,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run1,deepseek/deepseek-v4-flash,S04,Borrow from whole,"When fraction subtraction yields a negative result, decrease the whole part by 1 and add the denominator to the numerator before subtracting.",C5,Borrowing/regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run1,deepseek/deepseek-v4-flash,S05,Simplify fraction,Reduce a fraction to lowest terms by dividing numerator and denominator by their greatest common divisor.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run1,deepseek/deepseek-v4-flash,S06,Rewrite whole as mixed,"Express a whole number as a mixed number with a zero fraction part (e.g., 3 = 3 + 0/d) to enable fraction subtraction.",C4,Mixed-number subtraction without regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run10,deepseek/deepseek-v4-flash,S01,Convert to common denominator,Find the least common denominator and convert fractions to equivalent fractions with that denominator.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run10,deepseek/deepseek-v4-flash,S02,Subtract fractions,"Subtract the numerators of fractions with a common denominator, keeping the denominator unchanged.",C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run10,deepseek/deepseek-v4-flash,S03,Simplify fractions,Reduce a fraction to its simplest form by dividing numerator and denominator by their greatest common divisor.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run10,deepseek/deepseek-v4-flash,S04,Manage mixed numbers,"Separate whole and fraction parts of mixed numbers, subtract whole numbers, borrow if necessary, and combine the results.",C4,Mixed-number subtraction without regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run2,deepseek/deepseek-v4-flash,S01,Find common denominator,Identify the least common denominator and convert fractions to equivalent fractions with that denominator.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run2,deepseek/deepseek-v4-flash,S02,Subtract numerators,Subtract the numerators of two fractions that share the same denominator.,C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run2,deepseek/deepseek-v4-flash,S03,Subtract whole parts,Separate whole and fraction parts of mixed numbers and subtract the integer parts.,C9,Generic fraction subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run2,deepseek/deepseek-v4-flash,S04,Borrow and adjust fraction,"When fraction subtraction yields a negative result, borrow 1 from the whole part and add the denominator to the fraction before subtracting.",C5,Borrowing/regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run2,deepseek/deepseek-v4-flash,S05,Simplify fraction,Reduce a fraction to its lowest terms by dividing numerator and denominator by their greatest common factor.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run3,deepseek/deepseek-v4-flash,S01,Convert to common denominator,Find the least common denominator (LCD) and convert fractions to equivalent fractions with that denominator.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run3,deepseek/deepseek-v4-flash,S02,Subtract like fractions,"Subtract numerators of fractions with the same denominator, keeping the denominator unchanged.",C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run3,deepseek/deepseek-v4-flash,S03,Simplify fractions,Reduce a fraction to its lowest terms by dividing numerator and denominator by their greatest common divisor.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run3,deepseek/deepseek-v4-flash,S04,Subtract whole numbers,Subtract whole number parts (including from mixed numbers) and combine with the fraction part.,C3,Whole-number minuend/operand handling,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run3,deepseek/deepseek-v4-flash,S05,Borrow from whole,"When the fraction part of the minuend is less than the subtrahend's fraction, convert one whole unit into a fraction with the same denominator, add to the fraction, and subtract.",C5,Borrowing/regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run3,deepseek/deepseek-v4-flash,S06,Simplify mixed number,Convert an improper fraction within a mixed number to a proper mixed number by adding the whole number from the fraction to the existing whole part.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run3,deepseek/deepseek-v4-flash,S07,Write whole as mixed,Express a whole number as a mixed number with a zero fraction part having the same denominator as the subtrahend.,C4,Mixed-number subtraction without regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run4,deepseek/deepseek-v4-flash,S01,Find common denominator,Identify the least common denominator and convert fractions to equivalent forms with that denominator.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run4,deepseek/deepseek-v4-flash,S02,Subtract fractions with common denominator,"Subtract numerators while keeping the common denominator, and simplify the result if needed.",C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run4,deepseek/deepseek-v4-flash,S03,Separate and subtract whole parts,"Separate whole and fraction parts of mixed numbers, then subtract the whole parts.",C9,Generic fraction subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run4,deepseek/deepseek-v4-flash,S04,Borrow from whole part,"When fraction subtraction yields a negative result, borrow 1 from the whole part, convert it to a fraction with the same denominator, and adjust the fraction before subtracting.",C5,Borrowing/regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run4,deepseek/deepseek-v4-flash,S05,Combine whole and fraction results,Write the final answer as a mixed number or integer by combining the whole part and fraction part.,C9,Generic fraction subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run5,deepseek/deepseek-v4-flash,S01,Find common denominator and convert,Determine a common denominator for two fractions with unlike denominators and convert each to an equivalent fraction with that denominator.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run5,deepseek/deepseek-v4-flash,S02,Subtract fractions with like denominators,"Subtract the numerators of two fractions that have the same denominator, keeping the denominator unchanged.",C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run5,deepseek/deepseek-v4-flash,S03,Subtract whole numbers,Perform subtraction of two whole numbers.,C3,Whole-number minuend/operand handling,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run5,deepseek/deepseek-v4-flash,S04,Borrow from whole number,"When subtracting fractions yields a negative result, reduce the whole number part by 1 and add the denominator to the numerator of the fraction to make the subtraction possible.",C5,Borrowing/regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run5,deepseek/deepseek-v4-flash,S05,Simplify fractions,Reduce a fraction to lowest terms by dividing numerator and denominator by their greatest common divisor.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run5,deepseek/deepseek-v4-flash,S06,Decompose and compose mixed numbers,"Represent a mixed number or whole number as a whole part and a fraction part, and combine a whole part and a fraction part to form a mixed number (or integer if fraction part is zero).",C4,Mixed-number subtraction without regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run6,deepseek/deepseek-v4-flash,S01,Separate whole and fraction parts,"Interpret mixed numbers and whole numbers as a sum of a whole part and a fraction part, including representing a whole number as a mixed number with zero numerator.",C9,Generic fraction subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run6,deepseek/deepseek-v4-flash,S02,Find common denominator and convert,Determine the least common denominator of two fractions and rewrite each as an equivalent fraction with that denominator.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run6,deepseek/deepseek-v4-flash,S03,Subtract fractions with common denominator,Subtract the numerators of two fractions that have the same denominator and write the result over that denominator.,C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run6,deepseek/deepseek-v4-flash,S04,Borrow from whole number,"When the fraction part of the difference is negative, decrease the whole part by 1, add the denominator to the numerator of the fraction part, and then subtract again.",C5,Borrowing/regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run6,deepseek/deepseek-v4-flash,S05,Simplify fractions,Reduce a fraction to its lowest terms by dividing numerator and denominator by their greatest common divisor.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run7,deepseek/deepseek-v4-flash,S01,Subtract same-denominator fractions,"Subtract numerators when denominators are the same, keeping the denominator.",C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run7,deepseek/deepseek-v4-flash,S02,Subtract unlike-denominator fractions,"Find the least common denominator, convert both fractions to equivalent fractions, then subtract numerators.",C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run7,deepseek/deepseek-v4-flash,S03,Simplify fraction,Reduce a fraction to lowest terms by dividing numerator and denominator by their greatest common divisor.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run7,deepseek/deepseek-v4-flash,S04,Subtract mixed numbers without borrowing,"Subtract mixed numbers where the fraction part of the minuend is greater than or equal to that of the subtrahend, involving separating whole and fraction parts, subtracting wholes, subtracting fractions, and combining.",C5,Borrowing/regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run7,deepseek/deepseek-v4-flash,S05,Subtract mixed numbers with borrowing,"Subtract mixed numbers where the fraction part of the minuend is less than that of the subtrahend, requiring regrouping (borrowing 1 from the whole part) in addition to the steps in S04.",C5,Borrowing/regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run8,deepseek/deepseek-v4-flash,S01,Find common denominator and convert,Determine the least common denominator of two fractions and convert each to an equivalent fraction with that denominator.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run8,deepseek/deepseek-v4-flash,S02,Subtract fractions with common denominator,"Given two fractions with the same denominator, subtract the numerators and keep the denominator.",C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run8,deepseek/deepseek-v4-flash,S03,Simplify fractions,Reduce a fraction to lowest terms by dividing numerator and denominator by their greatest common factor.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run8,deepseek/deepseek-v4-flash,S04,Handle mixed numbers and whole numbers,"Separate a mixed number into whole and fraction parts, subtract whole numbers, and combine the results. Also includes rewriting a whole number as a mixed number with a given denominator.",C4,Mixed-number subtraction without regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run8,deepseek/deepseek-v4-flash,S05,Borrow from whole,"When the fraction subtraction in a mixed number yields a negative result, decrease the whole part by 1 and add the denominator to the fraction's numerator, then subtract again; repeat if necessary.",C5,Borrowing/regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run9,deepseek/deepseek-v4-flash,S01,Find common denominator and convert fractions,Determine the least common denominator of two fractions and convert each to an equivalent fraction with that denominator.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run9,deepseek/deepseek-v4-flash,S02,Subtract fractions with common denominator,"Subtract the numerators of two fractions that have the same denominator, keeping the denominator.",C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run9,deepseek/deepseek-v4-flash,S03,Borrow from whole number,"When the fraction part of the minuend is less than the fraction part of the subtrahend, decrease the whole number by 1 and add the denominator to the minuend's numerator, or rewrite a whole number as a mixed number with zero fraction and then borrow as needed.",C5,Borrowing/regrouping,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run9,deepseek/deepseek-v4-flash,S04,Simplify fractions,Reduce a fraction to its lowest terms by dividing numerator and denominator by their greatest common divisor.,C8,Fraction simplification/reduction,draft_ai,
b2_cot_deepseek_deepseek-v4-flash_auto_run9,deepseek/deepseek-v4-flash,S05,Convert improper fraction in mixed number,"When a mixed number has an improper fraction part (numerator ≥ denominator), convert it to a proper mixed number by adding the whole number from the fraction to the existing whole part.",C6,Improper mixed-number normalization,draft_ai,
b2_cot_google_gemini-3-5-flash_auto_run1,google/gemini-3.5-flash,S01,Basic Fraction Subtraction,Subtracting numerators when denominators are identical.,C1,Like-denominator fraction subtraction,draft_ai,
b2_cot_google_gemini-3-5-flash_auto_run1,google/gemini-3.5-flash,S02,Finding Common Denominators,Finding the least common denominator and converting fractions to equivalent fractions.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b2_cot_google_gemini-3-5-flash_auto_run1,google/gemini-3.5-flash,S03,Whole Number Manipulation,Subtracting the whole number components of mixed numbers or whole numbers.,C3,Whole-number minuend/operand handling,draft_ai,
